Word,Meaning,Frequency,diff_level
note, a brief written record,22.96,1
board,a stout length of sawn timber,37.28,1
claim,assert or affirm strongly,39.3,1
opportune,suitable or advantageous especially for a particular purpose,53.22,1
weary,physically and mentally fatigued,84.74,1
strain,exert much effort or energy,91.76,1
ally,a friendly nation,95.16,1
extent,the point or degree to which something extends,102.55,1
obvious,easily perceived by the senses or grasped by the mind,107.14,1
prompt,according to schedule or without delay,107.19,1
pitch,the high or low quality of a sound,109.75,1
expend,use up or consume fully,113.07,1
swift,moving very fast,113.61,1
desperate,a person who is frightened and in need of help,113.72,1
manifest,clearly revealed to the mind or the senses or judgment,126.01,1
confine,place limits on,129.54,1
notion,a general inclusive concept,132.58,1
neglect,leave undone or leave out,133.75,1
induce,cause to act in a specified manner,135.46,1
startle,surprise greatly,138.49,1
embrace,"squeeze tightly in your arms, usually with fondness",142.01,1
precious,of high worth or cost,142.16,1
vigor,forceful exertion,148.43,1
presume,take to be the case or to be true,151.7,1
profound,situated at or extending to great depth,155.59,1
prudent,marked by sound judgment,156.83,1
stiff,incapable of or resistant to bending,158.1,1
plead,appeal or request earnestly,160.48,1
spell,write or name the letters that comprise the accepted form of,164.05,1
indulge,yield to; give satisfaction to,165.7,1
subsequent,following in time or order,166.66,1
absurd,inconsistent with reason or logic or common sense,167.48,1
strive,attempt by employing effort,173.32,1
peer,look searchingly,174.63,1
contend,compete for something,175.36,1
stake,a strong wooden or metal post driven into the ground,177.94,1
agitate,move or cause to move back and forth,179.5,1
pine,a coniferous tree,180.03,1
obscure,not clearly understood or expressed,180.91,1
flatter,praise somewhat dishonestly,189.19,1
steep,having a sharp inclination,197.17,1
console,give moral or emotional strength to,198.11,1
jest,activity characterized by good humor,200.26,1
extensive,large in spatial extent or range or scope or quantity,208.38,1
deprive,take away,212.91,1
concede,give over,221.47,1
conspire,act in agreement and in secret towards a deceitful purpose,223.5,1
proposition,a suggestion offered for acceptance or rejection,224.39,1
discourse,an extended communication dealing with some particular topic,230.46,1
endeavor,attempt by employing effort,232.12,1
disguise,any attire that conceals the wearer's identity,237.02,1
decree,a legally binding command or decision,237.13,1
sway,move back and forth,241.97,1
harbor,a sheltered port where ships can take on or discharge cargo,242.93,1
literal,limited to the explicit meaning of a word or text,245.49,1
substantial,real; having a material or factual existence,248.39,1
stoop,bend one's back forward from the waist on down,250.36,1
frown,a facial expression of dislike or displeasure,250.86,1
sober,"not affected by a chemical substance, especially alcohol",251.02,1
vanity,feelings of excessive pride,254.18,1
petition,a formal request that something be submitted to an authority,256.57,1
ingenious,showing inventiveness and skill,265.98,1
quiver,"shake with fast, tremulous movements",269.85,1
defiant,boldly resisting authority or an opposing force,275.33,1
perplex,be a mystery or bewildering to,275.45,1
torment,intense feelings of suffering; acute mental or physical pain,280.21,1
vex,"disturb, especially by minor irritations",282.28,1
gravity,the force of attraction between all masses in the universe,287.13,1
conspicuous,obvious to the eye or mind,288.02,1
subdue,put down by force or intimidation,288.36,1
redeem,exchange or buy back for money; under threat,295.81,1
indignant,angered at something unjust or wrong,299.85,1
recede,pull back or move away or backward,303.3,1
enchant,cast a spell over someone or something,304,1
pluck,pull lightly but sharply,305.77,1
apprehension,fearful expectation or anticipation,307.45,1
extravagant,recklessly wasteful,307.84,1
venerate,regard with feelings of respect and reverence,313.53,1
prolong,lengthen in time; cause to be or last longer,315.1,1
